City,District,OID,ReportYear,ReportDate,Address,ReportNumber,PropertyStatus,PropValue,Serial,Disposition,CallNumber,x,y
BOULDER,East Boulder,2585,2018,2018-04-27,49XX MEREDITH,1870730,STOLEN,1160.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.233448820954,40.014057825517
BOULDER,Valmont,2586,2018,2018-04-28,29XX PEARL,1870732,STOLEN,700.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.256002784565,40.0240675407452
BOULDER,North Boulder,2587,2018,2018-04-28,45XX 13TH,1870734,STOLEN,540.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.280520010948,40.05733146296
BOULDER,East Boulder,2588,2018,2018-04-28,VALID ADDRESS UNAVAILABLE,1870735,STOLEN,700.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,CU Campus,2589,2018,2018-04-28,25XX PINE,1805168,STOLEN,3500.0,No,RB-Report,BPD180428-031188,-105.262860345091,40.0231811023486
BOULDER,Valmont,2590,2018,2018-04-28,29XX PEARL,1870738,STOLEN,1300.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.256002784565,40.0240675407452
BOULDER,North Boulder,2591,2018,2018-04-28,45XX 14TH,1870739,STOLEN,800.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.280641484936,40.0571982339867
BOULDER,Central Boulder,2592,2018,2018-04-29,20XX 14TH,1870749,RECOVERED,400.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.277146259305,40.0189466519296
BOULDER,Central Boulder,2593,2018,2018-04-29,20XX 14TH,1870749,STOLEN,400.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.277146259305,40.0189466519296
BOULDER,Central Boulder,2594,2018,2018-04-30,18XX 14TH,1870754,STOLEN,900.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.276446421692,40.017048714138
BOULDER,North Boulder,2595,2018,2018-04-30,33XX 13TH,1870755,STOLEN,6500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.281134829377,40.0357984179238
